id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
wc_post_id_486,"Vitamin Sea Tee","Vitamin Sea Tee - làn nước biển tươi mát giữa mùa hè oi bức! 
 
Lấy cảm hứng từ làn nước xanh ngắt của biển mùa hè, Vitamin Sea Tee đem đến cho bạn sự trẻ trung cùng cảm giác tươi mới như chính những cơn gió biển vậy. Màu xanh của áo Vitamin Sea được chúng tôi cân đo đong đếm, pha trộn một cách hài hòa để đem đến một màu xanh tươi mới không quá nổi trội cũng không quá trầm tính. Thích hợp với những bạn trẻ muốn thể hiện cá tính của mình một cách vừa phải và cả tình yêu dành cho biển xanh!! 
 
Greatify mong muốn mang lại trải nghiệm tốt nhất về quần áo cho khách hàng. Chúng tôi chọn ra những chiếc áo tốt nhất từ xưởng, kiểm duyệt gắt gao về chất liệu vải, xử lý từng chiếc áo lỗi để mang đến tay người dùng là những sản phẩm hoàn thiện nhất. Áo Vitamin Sea là một phần của những sản phẩm nằm trong trải nghiệm tốt nhất đó, là niềm tự hào của chúng tôi khi nhắc đến sản phẩm này. 
 
Hướng dẫn chọn size cho áo Vitamin Sea: (bảng size chỉ mang tính chất tham khảo, để có được những lựa chọn tốt nhất, hãy liên hệ với chúng tôi) 
 
Hướng dẫn bảo quản áo Vitamin Sea: sản phẩm nên được phơi trrong bóng râm, những nơi khô ráo thoáng mát. Nên giặc với các sản phẩm cùng màu, không nên dùng các chất tẩy rửa mạnh. Bảo quản ở nơi khô ráo, tránh ẩm ướt. Hoặc đơn giản bạn có thể đưa chiếc áo này cho mẹ bạn, bà ấy sẽ biết cách làm với nó. 
 
Xem nhiều sản phẩm hơn tại Trang chủ Greatify hoặc ghé thăm chúng tôi tại facebook của Greatify",https://greatify.live/wp-content/uploads/2016/11/blue_sea_tee_front.png,https://greatify.live/san-pham/vitamin-sea-tee/,"Nam, Nữ","Greatify",250000VND,in stock,wc_post_id_486,https://greatify.live/gio-hang/?add-to-cart=486,"https://greatify.live/wp-content/uploads/2016/11/blue_sea_tee_back.png",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,215000VND,new,published,,
wc_post_id_485,"Sơ mi nữ trắng","At vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium voluptatum deleniti atque corrupti quos dolores et quas molestias excepturi sint occaecati cupiditate non provident, similique sunt in culpa qui officia deserunt mollitia animi, id est laborum et dolorum fuga. Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus, omnis voluptas assumenda est, omnis dolor repellendus.",https://greatify.live/wp-content/uploads/2022/03/model-wearing-white-t-shirt-3.jpg,https://greatify.live/san-pham/so-mi-nu-trang/,"Nữ","Greatify",250000VND,in stock,wc_post_id_485,https://greatify.live/gio-hang/?add-to-cart=485,"https://greatify.live/wp-content/uploads/2022/03/model-wearing-white-t-shirt-2.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,170000VND,new,published,,
wc_post_id_587,"Váy đen","Sizes: M",https://greatify.live/wp-content/uploads/2022/03/model-wearing-summer-dress-3.jpg,https://greatify.live/san-pham/vay-den/?attribute_pa_sizes=m,"Nữ","Greatify",79VND,out of stock,wc_post_id_500,https://greatify.live/gio-hang/?add-to-cart=500&variation_id=587&attribute_pa_sizes=m,"https://greatify.live/wp-content/uploads/2022/03/woman-black-skirt.jpg,https://greatify.live/wp-content/uploads/2022/03/woman-sitting-on-chair-wearing-black-skirt-2.jpg,https://greatify.live/wp-content/uploads/2022/03/woman-sitting-on-chair-wearing-black-skirt.jpg,https://greatify.live/wp-content/uploads/2022/03/woman-black-skirt-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,79VND,new,published,,"sizes:M/L:M"
wc_post_id_588,"Váy đen","Sizes: L",https://greatify.live/wp-content/uploads/2022/03/woman-wearing-retro-frizzy-wig-1.jpg,https://greatify.live/san-pham/vay-den/?attribute_pa_sizes=l,"Nữ","Greatify",89VND,in stock,wc_post_id_500,https://greatify.live/gio-hang/?add-to-cart=500&variation_id=588&attribute_pa_sizes=l,"https://greatify.live/wp-content/uploads/2022/03/woman-black-skirt.jpg,https://greatify.live/wp-content/uploads/2022/03/woman-sitting-on-chair-wearing-black-skirt-2.jpg,https://greatify.live/wp-content/uploads/2022/03/woman-sitting-on-chair-wearing-black-skirt.jpg,https://greatify.live/wp-content/uploads/2022/03/woman-black-skirt-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,89VND,new,published,,"sizes:M/L:L"
wc_post_id_487,"Trench Coat (Right Image)","Vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium voluptatum deleniti atque corrupti quos dolores et quas molestias excepturi sint occaecati cupiditate non provident, similique sunt in culpa qui officia deserunt mollitia animi, id est laborum et dolorum fuga. Vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium voluptatum deleniti atque corrupti quos dolores et quas molestias excepturi sint occaecati cupiditate non provident, similique sunt in culpa qui officia deserunt mollitia animi, id est laborum et dolorum.",https://greatify.live/wp-content/uploads/2022/03/man-wear-black-trench-coat.jpg,https://greatify.live/san-pham/trench-coat-right-image/,"Nam","Greatify",189VND,in stock,wc_post_id_487,https://greatify.live/gio-hang/?add-to-cart=487,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,160VND,new,published,,
wc_post_id_488,"Áo dây quyến rũ","Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam.",https://greatify.live/wp-content/uploads/2022/03/girl-using-sexy-shirt-3.jpg,https://greatify.live/san-pham/ao-day-quyen-ru/,"Nữ","Greatify",15000VND,in stock,wc_post_id_488,https://greatify.live/gio-hang/?add-to-cart=488,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,15000VND,new,published,,
wc_post_id_489,"Áo chấm bi đen","Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur? Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur, vel illum qui dolorem eum fugiat quo voluptas nulla pariatur.",https://greatify.live/wp-content/uploads/2022/03/woman-wearing-retro-frizzy-wig-2.jpg,https://greatify.live/san-pham/ao-cham-bi-den/,"Nữ","Greatify",130VND,in stock,wc_post_id_489,https://greatify.live/gio-hang/?add-to-cart=489,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,130VND,new,published,,
wc_post_id_490,"Sexy Loose Fit (Image Left)","Voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur? Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur, vel illum qui dolorem eum fugiat quo voluptas nulla pariatur.",https://greatify.live/wp-content/uploads/2022/03/teen-wear-loose-fit.jpg,https://greatify.live/san-pham/sexy-loose-fit/,"Nữ","Greatify",18VND,in stock,wc_post_id_490,https://greatify.live/gio-hang/?add-to-cart=490,"https://greatify.live/wp-content/uploads/2022/03/teen-wear-loose-fit-3.jpg,https://greatify.live/wp-content/uploads/2022/03/teen-wear-loose-fit-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,18VND,new,published,,
wc_post_id_491,"Poncho xám","Molestias excepturi sint occaecati cupiditate non provident, similique sunt in culpa qui officia deserunt mollitia animi, id est laborum et dolorum fuga. Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus, omnis voluptas assumenda est, omnis dolor repellendus. Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet ut et voluptates repudiandae sint et molestiae non recusandae.Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus, omnis voluptas assumenda est, omnis dolor repellendus.",https://greatify.live/wp-content/uploads/2022/03/woman-wear-gray-poncho.jpg,https://greatify.live/san-pham/poncho-xam/,"Nữ","Greatify",75000VND,in stock,wc_post_id_491,https://greatify.live/gio-hang/?add-to-cart=491,"https://greatify.live/wp-content/uploads/2022/03/woman-wear-gray-poncho-4.jpg,https://greatify.live/wp-content/uploads/2022/03/woman-wear-gray-poncho-3.jpg,https://greatify.live/wp-content/uploads/2022/03/woman-wear-gray-poncho-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,75000VND,new,published,,
wc_post_id_492,"Áo hai dây xám","Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid.",https://greatify.live/wp-content/uploads/2022/03/girl-wearing-gray-tanktop.jpg,https://greatify.live/san-pham/ao-hai-day-xam/,"Nữ","Greatify",25000VND,in stock,wc_post_id_492,https://greatify.live/gio-hang/?add-to-cart=492,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,19000VND,new,published,,
